State,Step,X,Theta,U
2.0,7996.0,0.0,-29090.0,-5.839090347290039
2.0,8001.0,0.0,-29104.0,-5.839090347290039
2.0,8005.0,0.0,-29123.0,-5.839090347290039
2.0,8012.0,0.0,-29144.0,-5.839090347290039
2.0,8018.0,0.0,-29169.0,-5.839090347290039
2.0,8028.0,0.0,-29198.0,-5.839090347290039
2.0,8041.0,0.0,-29242.0,-5.839090347290039
2.0,8046.0,0.0,-29254.0,-5.839090347290039
2.0,8054.0,0.0,-29279.0,-5.839090347290039
2.0,8059.0,0.0,-29289.0,-5.839090347290039
2.0,8070.0,0.0,-29319.0,-5.839090347290039
2.0,8075.0,0.0,-29331.0,-5.839090347290039
2.0,8086.0,0.0,-29354.0,-5.839090347290039
2.0,8091.0,0.0,-29364.0,-5.839090347290039
2.0,8096.0,0.0,-29372.0,-5.839090347290039
2.0,8101.0,0.0,-29380.0,-5.839090347290039
2.0,8105.0,0.0,-29388.0,-5.839090347290039
2.0,8111.0,0.0,-29396.0,-5.839090347290039
2.0,8117.0,0.0,-29404.0,-5.839090347290039
2.0,8121.0,0.0,-29411.0,-5.839090347290039
2.0,8126.0,0.0,-29415.0,-5.839090347290039
2.0,8130.0,0.0,-29420.0,-5.839090347290039
2.0,8136.0,0.0,-29425.0,-5.839090347290039
2.0,8141.0,0.0,-29429.0,-5.839090347290039
2.0,8145.0,0.0,-29433.0,-5.839090347290039
2.0,8150.0,0.0,-29436.0,-5.839090347290039
2.0,8154.0,0.0,-29438.0,-5.839090347290039
2.0,8159.0,0.0,-29439.0,-5.839090347290039
2.0,8166.0,0.0,-29441.0,-5.839090347290039
2.0,8170.0,0.0,-29441.0,-5.839090347290039
2.0,8176.0,0.0,-29441.0,-5.839090347290039
2.0,8186.0,0.0,-29439.0,-5.839090347290039
2.0,8191.0,0.0,-29437.0,-5.839090347290039
2.0,8198.0,0.0,-29433.0,-5.839090347290039
2.0,8202.0,0.0,-29431.0,-5.839090347290039
2.0,8207.0,0.0,-29427.0,-5.839090347290039
2.0,8211.0,0.0,-29424.0,-5.839090347290039
2.0,8216.0,0.0,-29419.0,-5.839090347290039
2.0,8222.0,0.0,-29413.0,-5.839090347290039
2.0,8227.0,0.0,-29405.0,-5.839090347290039
2.0,8234.0,0.0,-29395.0,-5.839090347290039
2.0,8241.0,0.0,-29386.0,-5.839090347290039
2.0,8247.0,0.0,-29375.0,-5.839090347290039
2.0,8251.0,0.0,-29367.0,-5.839090347290039
2.0,8257.0,0.0,-29356.0,-5.839090347290039
2.0,8263.0,0.0,-29343.0,-5.839090347290039
2.0,8268.0,0.0,-29335.0,-5.839090347290039
2.0,8274.0,0.0,-29321.0,-5.839090347290039
2.0,8278.0,0.0,-29312.0,-5.839090347290039
2.0,8282.0,0.0,-29299.0,-5.839090347290039
2.0,8288.0,0.0,-29286.0,-5.839090347290039
2.0,8293.0,0.0,-29270.0,-5.839090347290039
2.0,8299.0,0.0,-29256.0,-5.839090347290039
2.0,8305.0,0.0,-29236.0,-5.839090347290039
2.0,8311.0,0.0,-29220.0,-5.839090347290039
2.0,8316.0,0.0,-29205.0,-5.839090347290039
2.0,8321.0,0.0,-29185.0,-5.839090347290039
2.0,8327.0,0.0,-29165.0,-5.839090347290039
2.0,8333.0,0.0,-29148.0,-5.839090347290039
2.0,8337.0,0.0,-29130.0,-5.839090347290039
2.0,8342.0,0.0,-29112.0,-5.839090347290039
2.0,8347.0,0.0,-29097.0,-5.839090347290039
2.0,8351.0,0.0,-29082.0,-5.839090347290039
2.0,8355.0,0.0,-29063.0,-5.839090347290039
2.0,8360.0,0.0,-29048.0,-5.839090347290039
2.0,8365.0,0.0,-29024.0,-5.839090347290039
2.0,8370.0,0.0,-29008.0,-5.839090347290039
2.0,8374.0,0.0,-28988.0,-5.839090347290039
2.0,8379.0,0.0,-28967.0,-5.839090347290039
2.0,8385.0,0.0,-28946.0,-5.839090347290039
2.0,8389.0,0.0,-28929.0,-5.839090347290039
2.0,8393.0,0.0,-28908.0,-5.839090347290039
2.0,8398.0,0.0,-28886.0,-5.839090347290039
2.0,8403.0,0.0,-28869.0,-5.839090347290039
2.0,8407.0,0.0,-28847.0,-5.839090347290039
2.0,8411.0,0.0,-28829.0,-5.839090347290039
2.0,8417.0,0.0,-28807.0,-5.839090347290039
2.0,8422.0,0.0,-28780.0,-5.839090347290039
