State,Step,X,Theta,U
2.0,11910.0,0.0,-8.0,-0.7053809762001038
2.0,11914.0,0.0,-11.0,-0.7053809762001038
2.0,11918.0,0.0,-12.0,-0.7053809762001038
2.0,11922.0,0.0,-14.0,-0.7053809762001038
2.0,11929.0,0.0,-18.0,-0.7053809762001038
2.0,11934.0,0.0,-20.0,-0.7053809762001038
2.0,11938.0,0.0,-22.0,-0.7053809762001038
2.0,11943.0,0.0,-24.0,-0.7053809762001038
2.0,11947.0,0.0,-26.0,-0.7053809762001038
2.0,11953.0,0.0,-29.0,-0.7053809762001038
2.0,11961.0,0.0,-32.0,-0.7053809762001038
2.0,11965.0,0.0,-34.0,-0.7053809762001038
2.0,11970.0,0.0,-36.0,-0.7053809762001038
2.0,11976.0,0.0,-39.0,-0.7053809762001038
2.0,11980.0,0.0,-40.0,-0.7053809762001038
2.0,11985.0,0.0,-42.0,-0.7053809762001038
2.0,11991.0,0.0,-44.0,-0.7053809762001038
2.0,11995.0,0.0,-46.0,-0.7053809762001038
2.0,12001.0,0.0,-48.0,-0.7053809762001038
2.0,12006.0,0.0,-50.0,-0.7053809762001038
2.0,12010.0,0.0,-52.0,-0.7053809762001038
2.0,12016.0,0.0,-53.0,-0.7053809762001038
2.0,12020.0,0.0,-55.0,-0.7053809762001038
2.0,12024.0,0.0,-56.0,-0.7053809762001038
2.0,12027.0,0.0,-57.0,-0.7053809762001038
2.0,12031.0,0.0,-58.0,-0.7053809762001038
2.0,12036.0,0.0,-60.0,-0.7053809762001038
2.0,12041.0,0.0,-61.0,-0.7053809762001038
2.0,12046.0,0.0,-63.0,-0.7053809762001038
2.0,12052.0,0.0,-64.0,-0.7053809762001038
2.0,12058.0,0.0,-66.0,-0.7053809762001038
2.0,12062.0,0.0,-67.0,-0.7053809762001038
2.0,12069.0,0.0,-68.0,-0.7053809762001038
2.0,12074.0,0.0,-69.0,-0.7053809762001038
2.0,12077.0,0.0,-70.0,-0.7053809762001038
2.0,12082.0,0.0,-70.0,-0.7053809762001038
2.0,12086.0,0.0,-71.0,-0.7053809762001038
2.0,12090.0,0.0,-72.0,-0.7053809762001038
2.0,12094.0,0.0,-72.0,-0.7053809762001038
2.0,12098.0,0.0,-73.0,-0.7053809762001038
2.0,12104.0,0.0,-74.0,-0.7053809762001038
2.0,12110.0,0.0,-74.0,-0.7053809762001038
2.0,12116.0,0.0,-74.0,-0.7053809762001038
2.0,12121.0,0.0,-75.0,-0.7053809762001038
2.0,12129.0,0.0,-75.0,-0.7053809762001038
2.0,12134.0,0.0,-75.0,-0.7053809762001038
2.0,12139.0,0.0,-75.0,-0.7053809762001038
2.0,12145.0,0.0,-75.0,-0.7053809762001038
2.0,12151.0,0.0,-75.0,-0.7053809762001038
2.0,12156.0,0.0,-75.0,-0.7053809762001038
2.0,12161.0,0.0,-75.0,-0.7053809762001038
2.0,12167.0,0.0,-74.0,-0.7053809762001038
