State,Step,X,Theta,U
2.0,43120.0,0.0,13093.0,0.5067390203475952
2.0,43124.0,0.0,13111.0,0.5067390203475952
2.0,43128.0,0.0,13128.0,0.5067390203475952
2.0,43132.0,0.0,13145.0,0.5067390203475952
2.0,43142.0,0.0,13182.0,0.5067390203475952
2.0,43146.0,0.0,13198.0,0.5067390203475952
2.0,43150.0,0.0,13217.0,0.5067390203475952
2.0,43154.0,0.0,13232.0,0.5067390203475952
2.0,43159.0,0.0,13246.0,0.5067390203475952
2.0,43163.0,0.0,13260.0,0.5067390203475952
2.0,43167.0,0.0,13273.0,0.5067390203475952
2.0,43171.0,0.0,13286.0,0.5067390203475952
2.0,43175.0,0.0,13299.0,0.5067390203475952
2.0,43179.0,0.0,13311.0,0.5067390203475952
2.0,43183.0,0.0,13323.0,0.5067390203475952
2.0,43187.0,0.0,13335.0,0.5067390203475952
2.0,43191.0,0.0,13345.0,0.5067390203475952
2.0,43195.0,0.0,13359.0,0.5067390203475952
2.0,43200.0,0.0,13369.0,0.5067390203475952
2.0,43206.0,0.0,13385.0,0.5067390203475952
2.0,43210.0,0.0,13394.0,0.5067390203475952
2.0,43214.0,0.0,13403.0,0.5067390203475952
2.0,43220.0,0.0,13413.0,0.5067390203475952
2.0,43223.0,0.0,13421.0,0.5067390203475952
2.0,43227.0,0.0,13428.0,0.5067390203475952
2.0,43231.0,0.0,13435.0,0.5067390203475952
2.0,43236.0,0.0,13441.0,0.5067390203475952
2.0,43241.0,0.0,13448.0,0.5067390203475952
2.0,43245.0,0.0,13454.0,0.5067390203475952
2.0,43249.0,0.0,13459.0,0.5067390203475952
2.0,43253.0,0.0,13463.0,0.5067390203475952
2.0,43258.0,0.0,13469.0,0.5067390203475952
2.0,43263.0,0.0,13474.0,0.5067390203475952
2.0,43268.0,0.0,13477.0,0.5067390203475952
2.0,43272.0,0.0,13480.0,0.5067390203475952
2.0,43278.0,0.0,13483.0,0.5067390203475952
2.0,43282.0,0.0,13486.0,0.5067390203475952
2.0,43287.0,0.0,13487.0,0.5067390203475952
2.0,43292.0,0.0,13488.0,0.5067390203475952
2.0,43299.0,0.0,13488.0,0.5067390203475952
2.0,43304.0,0.0,13487.0,0.5067390203475952
2.0,43310.0,0.0,13486.0,0.5067390203475952
2.0,43314.0,0.0,13484.0,0.5067390203475952
2.0,43319.0,0.0,13482.0,0.5067390203475952
2.0,43326.0,0.0,13478.0,0.5067390203475952
2.0,43332.0,0.0,13472.0,0.5067390203475952
2.0,43338.0,0.0,13468.0,0.5067390203475952
2.0,43343.0,0.0,13461.0,0.5067390203475952
2.0,43350.0,0.0,13454.0,0.5067390203475952
2.0,43356.0,0.0,13445.0,0.5067390203475952
2.0,43361.0,0.0,13438.0,0.5067390203475952
2.0,43366.0,0.0,13428.0,0.5067390203475952
2.0,43372.0,0.0,13417.0,0.5067390203475952
2.0,43378.0,0.0,13407.0,0.5067390203475952
2.0,43384.0,0.0,13394.0,0.5067390203475952
2.0,43390.0,0.0,13381.0,0.5067390203475952
2.0,43395.0,0.0,13364.0,0.5067390203475952
2.0,43401.0,0.0,13351.0,0.5067390203475952
2.0,43406.0,0.0,13340.0,0.5067390203475952
2.0,43414.0,0.0,13318.0,0.5067390203475952
2.0,43422.0,0.0,13293.0,0.5067390203475952
2.0,43427.0,0.0,13277.0,0.5067390203475952
2.0,43431.0,0.0,13260.0,0.5067390203475952
2.0,43437.0,0.0,13240.0,0.5067390203475952
2.0,43443.0,0.0,13221.0,0.5067390203475952
2.0,43450.0,0.0,13195.0,0.5067390203475952
2.0,43454.0,0.0,13175.0,0.5067390203475952
